date,morning rainfall,afternoon rainfall,temperature lowest,temperature highest
오늘11.15.,오전 강수확률10%,오후 강수확률30%,최저기온1°,최고기온12°
내일11.16.,오전 강수확률60%,오후 강수확률60%,최저기온5°,최고기온9°
